scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
14-Nov-20,Actualizat în 11.11.2020,55.8,Iasi,Podul de Piatra ,Semi_detached,Unfurnished,3,4,4,64 mp,1970
14-Nov-20,Actualizat în 07.11.2020,48.5,Iasi,Cug ,Detached,Unfurnished,1,4,11,50 mp,2020 (in constructie)
14-Nov-20,Actualizat în 27.10.2020,59.5,Iasi,Tatarasi ,Detached,Unfurnished,2,1,12,56 mp,2020 (in constructie)
14-Nov-20,Actualizat în 12.11.2020,37,Iasi,Tatarasi ,Non_detached,Unfurnished,2,Parter,4,33 mp,Între 1941 ºi 1977
14-Nov-20,Actualizat în 12.11.2020,N/A,Iasi,Bularga ,Detached,Unfurnished,2,Etaj 2,N/A,57 mp,2017
14-Nov-20,Actualizat în 10.11.2020,58.5,Iasi,Dacia ,Detached,Unfurnished,2,1,3,54 mp,1985
14-Nov-20,Actualizat în 10.11.2020,53,Iasi,Canta ,Detached,Unfurnished,2,1,11,57 mp,2012
14-Nov-20,Actualizat ieri,51.5,Iasi,Galata ,Detached,Unfurnished,1,6,11,39 mp,2020 (finalizata)
14-Nov-20,Actualizat în 09.11.2020,46.085,Iasi,Tatarasi ,Detached,Furnished,1,1,3,40.05 mp,2021 (in constructie)
14-Nov-20,Actualizat în 11.11.2020,78.5,Iasi,Podu Ros ,Detached,Unfurnished,3,4,10,80 mp,1977
14-Nov-20,Actualizat în 09.11.2020,252,Iasi,Copou ,Detached,Furnished,3,9,9,154.84 mp,2019
14-Nov-20,Introdus: Ieri,75,Iasi,Podu Ros ,Detached,N/A,4,1,4,92 mp,1968
14-Nov-20,Actualizat în 10.11.2020,57.8,Iasi,Alexandru cel Bun ,Detached,Unfurnished,2,6,10,55 mp,1976
14-Nov-20,Introdus: Azi,70.793,Iasi,Tatarasi ,Detached,Furnished,2,3,10,77 mp,2021 (in constructie)
14-Nov-20,Actualizat ieri,32,Iasi,Cug ,Detached,Unfurnished,1,1,4,40 mp,2020 (finalizata)
14-Nov-20,Actualizat în 05.11.2020,50,Iasi,Alexandru cel Bun ,Non_detached,N/A,2,3,4,40 mp,1972
14-Nov-20,Actualizat ieri,82,Iasi,Cug ,Semi_detached,Unfurnished,3,6,9,77 mp,1987
14-Nov-20,Actualizat în 12.11.2020,36,Iasi,Tatarasi ,Detached,Furnished,1,6,8,39 mp,2021 (in constructie)
14-Nov-20,Actualizat ieri,69.5,Iasi,Podul de Fier ,Detached,Furnished,2,Parter,4,60 mp,Între 1977 ºi 1990
14-Nov-20,Actualizat în 11.11.2020,100,Iasi,Centru Civic ,Detached,Unfurnished,2,2,10,50 mp,1978
14-Nov-20,Actualizat în 06.11.2020,92.5,Iasi,Centru Civic ,Detached,Unfurnished,3,2,10,69 mp,1979
14-Nov-20,Actualizat în 11.11.2020,54,Iasi,Semicentral ,Semi_detached,Furnished,2,9,10,47 mp,2020 (finalizata)
14-Nov-20,Introdus: Ieri,40,Iasi,Popas Pacurari ,Detached,Unfurnished,2,1,4,48 mp,2020 (finalizata)
